行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
松山區,43.54,393.73,7.137723567,5,13,0,4,2,3,1,坡道平面,2019/11/1,121.557843,25.048199,9341
松山區,14.76,160.53,36.12668296,11,16,0,3,2,2,1,無,2019/10/31,121.565942,25.059101,3300
文山區,42.26,155,25.16684121,7,8,0,3,2,2,1,坡道平面,2019/11/3,121.570664,24.987736,1950
文山區,46.4,162.3,28.26341403,3,7,0,3,2,2,1,坡道平面,2019/10/29,121.55971,24.989061,2020
文山區,36.27,226.08,5.314277501,4,9,0,3,2,2,1,坡道平面,2019/9/29,121.561169,24.985474,2716
文山區,21.62,85.66,19.22832091,8,10,0,2,2,1,1,無,2019/10/13,121.548689,25.004695,1000
文山區,35.11,109.97,38.09250019,3,5,0,3,2,2,0,無,2019/9/17,121.539152,25.000101,802
文山區,23.35,144.17,25.99642703,2,12,1,2,2,2,1,無,2019/11/4,121.574735,24.99887,1600
文山區,35.8,181.06,9.024141495,11,14,0,3,2,2,1,坡道平面,2019/11/13,121.536121,25.005952,2650
文山區,36.8,190.81,8.950218006,5,14,0,3,2,2,1,坡道平面,2019/10/18,121.536121,25.005952,2780
文山區,39.83,187.5,10.89139407,6,7,0,3,2,2,1,坡道機械,2019/10/17,121.55379,24.987972,2236
文山區,21.87,74.49,25.29004702,2,6,0,2,2,1,1,無,2019/11/5,121.555412,24.978047,1060
文山區,32.69,201.86,9.040568937,3,11,0,2,2,2,1,坡道平面,2019/10/20,121.556049,24.986018,2630
信義區,19.6,72.41,40.49364463,4,5,0,2,2,1,0,無,2019/10/21,121.559789,25.01897,1280
信義區,18.14,101.46,27.32157402,2,7,0,3,2,2,1,無,2019/10/29,121.559382,25.032693,1900
信義區,49.79,190.38,27.38454588,4,7,0,3,2,2,1,坡道平面,2019/10/21,121.568956,25.031609,5660
松山區,25.42,132.82,39.35741323,5,7,0,3,2,2,1,無,2019/10/1,121.559637,25.050594,3088
信義區,26.13,127.6,22.817717,11,16,0,3,2,2,1,無,2019/10/4,121.581321,25.022857,1920
大安區,45.75,113.57,50.47057777,3,4,0,6,0,6,0,無,2019/10/11,121.543007,25.021851,2335
松山區,10.29,40.27,15.33775505,3,9,0,2,2,1,1,無,2019/10/9,121.577709,25.050886,1150
